------------------------------------------------------------------------------------
Date: 8/20/2026 -- 10:46:25 (uptime: 0d, 00h 00m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 3
decoder.bytes                                 | Total                     | 132
decoder.ipv4                                  | Total                     | 3
decoder.raw                                   | Total                     | 3
decoder.tcp                                   | Total                     | 3
tcp.syn                                       | Total                     | 1
tcp.synack                                    | Total                     | 1
decoder.avg_pkt_size                          | Total                     | 44
decoder.max_pkt_size                          | Total                     | 52
flow.total                                    | Total                     | 1
flow.tcp                                      | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1
tcp.sessions                                  | Total                     | 1
tcp.ssn_from_pool                             | Total                     | 1
detect.alert                                  | Total                     | 1
flow.end.state.new                            | Total                     | 1
flow.end.tcp_state.syn_sent                   | Total                     | 1
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9900
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 1
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 1212416
tcp.reassembly_memuse                         | Total                     | 229376
flow.memuse                                   | Total                     | 7154304
